,S1,C1,S2,C2,S3,C3,S4,C4,S5,C5,S6,C6,S7,C7,percentage_of_total_chips_hand,percentage_of_hand_bet_pot,percentage_of_total_chips_in_pot,current_stage,move,result,player_hand_ranking
0,1,6,4,6,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.011,0.009666666666666667,0,2,1,3
1,1,6,4,6,3,3,2,13,2,5,0,0,0,0,0.16666666666666666,0.028,0.0125,1,1,1,3
2,1,6,4,6,3,3,2,13,2,5,3,5,0,0,0.16666666666666666,0.108,0.025833333333333333,2,1,1,3
3,1,6,4,6,3,3,2,13,2,5,3,5,2,6,0.16666666666666666,0.108,0.025833333333333333,3,1,1,3
0,1,13,4,12,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.021,0.009666666666666667,0,1,1,7
1,1,13,4,12,3,3,2,13,2,5,0,0,0,0,0.16666666666666666,0.021,0.0125,1,1,1,7
2,1,13,4,12,3,3,2,13,2,5,3,5,0,0,0.16666666666666666,0.021,0.025833333333333333,2,1,1,7
3,1,13,4,12,3,3,2,13,2,5,3,5,2,6,0.16666666666666666,0.021,0.025833333333333333,3,1,1,7
0,2,2,2,12,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.005,0.004333333333333333,0,0,1,7
0,2,5,4,13,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.01,0.004333333333333333,0,0,1,7
0,3,6,4,3,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.0,0.004333333333333333,0,0,1,3
0,4,12,2,11,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.011,0.004333333333333333,0,2,1,7
0,4,11,3,1,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.0,0.004333333333333333,0,0,1,7
0,3,12,1,4,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.0,0.004333333333333333,0,0,1,7
0,3,11,3,7,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.021,0.008833333333333334,0,1,1,7
1,3,11,3,7,1,7,2,3,3,8,0,0,0,0,0.16666666666666666,0.021,0.008833333333333334,1,1,1,7
2,3,11,3,7,1,7,2,3,3,8,4,6,0,0,0.16666666666666666,0.021,0.008833333333333334,2,1,1,7
3,3,11,3,7,1,7,2,3,3,8,4,6,4,11,0.16666666666666666,0.021,0.0167,3,1,1,7
0,3,12,1,13,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.021,0.008833333333333334,0,1,1,7
1,3,12,1,13,1,7,2,3,3,8,0,0,0,0,0.16666666666666666,0.021,0.008833333333333334,1,1,1,7
2,3,12,1,13,1,7,2,3,3,8,4,6,0,0,0.16666666666666666,0.021,0.008833333333333334,2,1,1,7
3,3,12,1,13,1,7,2,3,3,8,4,6,4,11,0.16666666666666666,0.021,0.0167,3,0,1,7
0,1,11,1,1,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.011,0.008833333333333334,0,2,1,7
1,1,11,1,1,1,7,2,3,3,8,0,0,0,0,0.16666666666666666,0.011,0.008833333333333334,1,2,1,7
2,1,11,1,1,1,7,2,3,3,8,4,6,0,0,0.16666666666666666,0.011,0.008833333333333334,2,2,1,7
3,1,11,1,1,1,7,2,3,3,8,4,6,4,11,0.16666666666666666,0.0582,0.0167,3,1,1,7
0,3,9,3,3,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.0,0.008833333333333334,0,0,1,7
0,2,9,2,5,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.0,0.008833333333333334,0,0,1,7
0,2,1,1,6,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.0,0.008833333333333334,0,0,1,3
0,3,8,1,9,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.005,0.0075,0,0,1,7
0,4,8,3,13,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.01,0.0075,0,0,1,7
0,2,9,2,1,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.01,0.0075,0,2,1,7
1,2,9,2,1,4,13,1,12,2,3,0,0,0,0,0.16666666666666666,0.01,0.0075,1,2,1,3
0,1,10,4,7,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.0,0.0075,0,0,1,3
0,1,3,4,9,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.0,0.0075,0,0,1,3
0,3,9,3,7,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.02,0.0075,0,1,1,3
1,3,9,3,7,4,13,1,12,2,3,0,0,0,0,0.16666666666666666,0.02,0.0075,1,0,1,3
0,2,1,2,5,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.085,0.0175,0,2,1,3
0,4,7,1,12,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.01,0.0175,0,0,1,3
